Date,Province/State,Country/Region,adm0_a3,Lat,Long,Population,admin,r_admin,i_admin,ri_admin,Tot_admin,iTot_admin,rTot_admin,riTot_admin,full,r_full,i_full,ri_full,Tot_full,iTot_full,rTot_full,riTot_full
4/8/21,Risaralda,Colombia,COL,5.3158,-75.9928,943401.0,0.0,0.0,0.0,0.0,2812828.0,121315.0,5828.7127,251.3877,0.0,0.0,0.0,0.0,640077.0,97540.0,1326.3609,202.1214
4/8/21,San Andres y Providencia,Colombia,COL,12.5567,-81.7185,61280.0,0.0,0.0,0.0,0.0,2812828.0,121315.0,5828.7127,251.3877,0.0,0.0,0.0,0.0,640077.0,97540.0,1326.3609,202.1214
4/8/21,Santander,Colombia,COL,6.6437,-73.6536,2184837.0,0.0,0.0,0.0,0.0,2812828.0,121315.0,5828.7127,251.3877,0.0,0.0,0.0,0.0,640077.0,97540.0,1326.3609,202.1214
4/8/21,Sucre,Colombia,COL,8.814,-74.7233,904863.0,0.0,0.0,0.0,0.0,2812828.0,121315.0,5828.7127,251.3877,0.0,0.0,0.0,0.0,640077.0,97540.0,1326.3609,202.1214
4/8/21,Tolima,Colombia,COL,4.0925,-75.1545,1330187.0,0.0,0.0,0.0,0.0,2812828.0,121315.0,5828.7127,251.3877,0.0,0.0,0.0,0.0,640077.0,97540.0,1326.3609,202.1214
4/8/21,Valle del Cauca,Colombia,COL,3.8009,-76.6413,4475886.0,0.0,0.0,0.0,0.0,2812828.0,121315.0,5828.7127,251.3877,0.0,0.0,0.0,0.0,640077.0,97540.0,1326.3609,202.1214
4/8/21,Vaupes,Colombia,COL,0.8554,-70.812,40797.0,0.0,0.0,0.0,0.0,2812828.0,121315.0,5828.7127,251.3877,0.0,0.0,0.0,0.0,640077.0,97540.0,1326.3609,202.1214
4/8/21,Vichada,Colombia,COL,4.4234,-69.2878,107808.0,0.0,0.0,0.0,0.0,2812828.0,121315.0,5828.7127,251.3877,0.0,0.0,0.0,0.0,640077.0,97540.0,1326.3609,202.1214
4/8/21,NA,Costa Rica,CRI,9.7489,-83.7534,5094114.0,504930.0,9912.0279,0.0,0.0,504930.0,0.0,9912.0279,0.0,213562.0,4192.3286,0.0,0.0,213562.0,0.0,4192.3286,0.0
4/8/21,NA,Cote d'Ivoire,CIV,7.54,-5.5471,26378275.0,53071.0,201.1921,3123.0,11.8393,53071.0,3123.0,201.1921,11.8393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4/8/21,NA,Croatia,HRV,45.1,15.2,4105268.0,543436.0,13237.528,10027.0,244.2471,543436.0,10027.0,13237.528,244.2471,102546.0,2497.9124,1738.0,42.3358,102546.0,1738.0,2497.9124,42.3358
4/8/21,NA,Cyprus,CYP,35.1264,33.4299,1207361.0,174626.0,14463.4455,0.0,0.0,174626.0,0.0,14463.4455,0.0,50461.0,4179.4459,0.0,0.0,50461.0,0.0,4179.4459,0.0
4/8/21,NA,Czechia,CZE,49.8175,15.473,10708982.0,1990543.0,18587.6024,68527.0,639.9021,1990543.0,68527.0,18587.6024,639.9021,668952.0,6246.6442,30724.0,286.8994,668952.0,30724.0,6246.6442,286.8994
4/8/21,NA,Denmark,DNK,56.2639,9.5018,5792203.0,1266137.0,21859.334,22353.0,385.9153,1266137.0,22353.0,21859.334,385.9153,432028.0,7458.7855,8643.0,149.2178,432028.0,8643.0,7458.7855,149.2178
4/8/21,Faroe Islands,Denmark,FRO,61.8926,-6.9118,48865.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
